"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.447054458E0,-1.425206190E-1,2.384187564E-2,-1.858057658E-1,2.353812747E-1
1.457006458E0,-1.093610591E-1,8.457960896E-3,-1.138932359E-1,1.581235199E-1
1.466958458E0,-2.593006253E-2,2.656517979E-2,-1.133816046E-1,1.193040870E-1
1.476910458E0,4.161872685E-2,3.294430934E-2,-6.521454435E-2,8.408556795E-2
1.486862458E0,2.733222485E-2,5.230356328E-2,6.630194373E-3,5.938579565E-2
1.496814458E0,-4.596730113E-2,5.867092531E-2,-8.303101044E-2,1.115769642E-1
1.506766458E0,-4.599653721E-2,8.327710513E-2,-1.132505904E-1,1.479069096E-1
1.516718458E0,1.674642563E-2,1.040278868E-1,-7.197918814E-2,1.276058287E-1
1.526670458E0,9.451263964E-2,5.872132100E-2,-1.811888409E-1,2.126269706E-1
1.536622458E0,2.088654667E-1,4.196597837E-2,-2.347785723E-1,3.170282394E-1
1.546574458E0,2.610390025E-1,4.101423439E-2,-2.341833258E-1,3.530798186E-1
1.556526458E0,2.660524052E-1,4.217768412E-2,-2.105324714E-1,3.418870586E-1
1.566478458E0,4.300241196E-1,7.103902895E-2,-2.405024117E-1,4.978038742E-1
1.576430458E0,8.526649600E-1,7.852605969E-2,-4.583538795E-1,9.712322868E-1
1.586382458E0,1.804160728E0,1.918820827E-1,-5.419170231E-1,1.893538679E0
1.596334458E0,3.479711949E0,4.131559257E-1,-5.772687042E-1,3.551384550E0
1.606286458E0,5.502638649E0,4.728519045E-1,-3.543178797E-1,5.534271604E0
1.616238458E0,7.841733071E0,6.164144243E-1,1.925640142E-1,7.868279685E0
1.626190458E0,1.002770587E1,1.159746620E0,8.182529265E-1,1.012765694E1
1.636142458E0,1.195731160E1,2.213485412E0,1.924473038E0,1.231179982E1
1.646094458E0,1.341821855E1,2.221587607E0,3.090458125E0,1.394757943E1
1.656046458E0,1.556646453E1,2.270241850E0,2.942856860E0,1.600403769E1
1.665998458E0,1.715780064E1,1.326740394E0,2.099729294E0,1.733664402E1
1.675950458E0,1.783832182E1,-4.140766064E-2,2.910270327E-1,1.784074372E1
1.685902458E0,1.681317043E1,-5.419824388E-1,-1.141622663E0,1.686059747E1
1.695854458E0,1.534868615E1,-7.986772525E-1,-5.038323899E-1,1.537770786E1
1.705806458E0,1.440237043E1,-8.312153265E-1,-8.030092353E-1,1.444866834E1
1.715758458E0,1.284137201E1,-1.104661901E0,-1.086866412E0,1.293454258E1
1.725710458E0,1.066648378E1,-5.850543449E-1,-1.706623324E0,1.081798169E1
1.735662458E0,6.194004657E0,7.651499026E-1,-8.041827714E-1,6.292682893E0
1.745614458E0,1.973630580E0,7.654261105E-1,-8.855122787E-1,2.294608200E0
1.755566458E0,1.248363000E-1,-4.556239972E-1,-2.356683431E0,2.403566958E0
1.765518458E0,-2.460931100E0,-1.706664401E0,-3.131593872E0,4.333101134E0
1.775470458E0,-4.521406866E0,-2.450770978E0,-4.004641056E0,6.518170635E0
1.785422458E0,-5.841851417E0,-2.459827146E0,-4.049951715E0,7.521973575E0
1.795374458E0,-7.010586450E0,-1.815254943E0,-2.981161970E0,7.831398315E0
