"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.265817208E0,-7.527630514E-2,7.016326223E-1,-3.170763785E0,3.248337704E0
1.275769208E0,4.233850082E-2,8.036093058E-1,-3.002051733E0,3.108037173E0
1.285721208E0,7.849086676E-2,8.483826055E-1,-2.905266865E0,3.027621082E0
1.295673208E0,8.243245656E-2,9.406933299E-1,-2.774347122E0,2.930648563E0
1.305624208E0,-1.193555586E-2,1.092233279E0,-2.496264655E0,2.724784986E0
1.315576208E0,-1.696834756E-1,1.258731575E0,-1.997494821E0,2.367104396E0
1.325528208E0,-2.271380704E-1,1.487794787E0,-1.474068448E0,2.106656787E0
1.335480208E0,-2.101091329E-1,1.609736715E0,-1.059167567E0,1.938358603E0
1.345431208E0,-2.627640042E-1,1.678888519E0,-7.095876861E-1,1.841528241E0
1.355383208E0,-3.430843551E-1,1.659490673E0,-4.761668372E-1,1.760213347E0
1.365335208E0,-3.461175252E-1,1.529345101E0,-2.945230830E-1,1.595442768E0
1.375287208E0,-4.013552944E-1,1.374270656E0,-9.158376932E-2,1.434605693E0
1.385238208E0,-6.036328494E-1,1.100071325E0,2.562080330E-1,1.280692037E0
1.395190208E0,-7.764555672E-1,7.587472746E-1,8.127045035E-1,1.356122887E0
1.405142208E0,-8.065752328E-1,4.956092678E-1,1.552412367E0,1.818289391E0
1.415094208E0,-6.859842306E-1,3.238323976E-1,2.091485304E0,2.224803938E0
1.425045208E0,-5.972827732E-1,3.594939812E-1,2.244267202E0,2.350046363E0
1.434997208E0,-5.126576656E-1,5.868239316E-1,2.053232235E0,2.196119946E0
1.444949208E0,-4.891284332E-1,8.223132330E-1,1.673704085E0,1.927882528E0
1.454901208E0,-4.570290466E-1,9.667485228E-1,1.542482625E0,1.876893951E0
1.464852208E0,-3.877861361E-1,9.446293831E-1,1.921855239E0,2.176288198E0
1.474804208E0,-4.239578526E-1,5.717661819E-1,3.000698687E0,3.083966510E0
1.484756208E0,-5.055267668E-1,-2.364654940E-1,4.538260295E0,4.572447895E0
1.494707208E0,-6.287381621E-1,-1.105219945E0,5.795214610E0,5.933071310E0
1.504659208E0,-5.457147531E-1,-1.659549730E0,6.121997366E0,6.366377435E0
1.514611208E0,-1.946356462E-1,-1.593148749E0,5.332601033E0,5.568899330E0
1.524563208E0,2.576958022E-1,-1.215738460E0,3.745555608E0,3.946341843E0
1.534514208E0,6.157224794E-1,-8.751947205E-1,2.011698292E0,2.278598251E0
1.544466208E0,7.786072695E-1,-5.730044760E-1,6.279283959E-1,1.152760808E0
1.554418208E0,5.817330533E-1,-4.568305336E-1,-1.373002249E-1,7.523023551E-1
1.564370208E0,2.285734157E-1,-5.687221214E-1,-2.606770599E-1,6.660654527E-1
1.574321208E0,-1.949494589E-2,-7.215158598E-1,1.634969205E-1,7.400651538E-1
1.584273208E0,-2.617727367E-1,-8.145742969E-1,6.535894865E-1,1.076677978E0
1.594225208E0,-3.811002470E-1,-9.511746101E-1,9.438938034E-1,1.393164042E0
1.604177208E0,-2.615869963E-1,-1.027840086E0,1.012063567E0,1.465999885E0
1.614128208E0,-3.506136686E-2,-9.882224223E-1,9.039052802E-1,1.339722961E0
1.624080208E0,1.527380985E-1,-8.982542387E-1,6.788746011E-1,1.136248357E0
1.634032208E0,2.498585049E-1,-8.618791486E-1,2.748097801E-1,9.385016540E-1
1.643984208E0,2.999953459E-1,-8.127290618E-1,-2.819106388E-1,9.110429978E-1
1.653935208E0,3.762310878E-1,-6.560673903E-1,-9.675715184E-1,1.228075281E0
1.663887208E0,4.739717559E-1,-4.767645688E-1,-1.699319567E0,1.827468377E0
1.673839208E0,4.933341527E-1,-3.849789975E-1,-2.239481841E0,2.325266937E0
1.683791208E0,4.732630368E-1,-2.716986229E-1,-2.599420064E0,2.656084094E0
1.693742208E0,4.411176033E-1,-1.351567818E-1,-2.735676561E0,2.774306822E0
1.703694208E0,4.936933910E-1,-4.006877616E-2,-2.677908409E0,2.723331070E0
1.713646208E0,4.850051229E-1,-2.317931302E-2,-2.415635059E0,2.463952108E0
1.723598208E0,4.578259124E-1,-3.138259113E-2,-2.181925943E0,2.229661466E0
1.733549208E0,4.770566373E-1,-2.805888757E-2,-2.018288689E0,2.074092469E0
1.743501208E0,4.390043465E-1,7.156772688E-2,-1.936441703E0,1.986870209E0
1.753453208E0,4.421069522E-1,2.094604940E-1,-2.130767484E0,2.186207292E0
1.763405208E0,3.868886981E-1,3.545534494E-1,-2.601418642E0,2.653821766E0
1.773356208E0,3.194498364E-1,4.861828984E-1,-3.128966718E0,3.182586170E0
1.783308208E0,2.719949122E-1,5.649698900E-1,-3.648900549E0,3.702384019E0
1.793260208E0,2.789711339E-1,7.220319497E-1,-3.988087004E0,4.062510674E0
1.803212208E0,2.536618812E-1,8.549097792E-1,-4.069125904E0,4.165693304E0
1.813163208E0,1.169064706E-1,9.161629446E-1,-3.917277807E0,4.024684718E0
1.823115208E0,5.864806635E-2,9.704789733E-1,-3.568877310E0,3.698939616E0
1.833067208E0,1.396692609E-1,1.079161902E0,-2.987202728E0,3.179226015E0
1.843018208E0,2.564309398E-1,1.156686991E0,-2.239211115E0,2.533327464E0
1.852970208E0,3.471648346E-1,1.176242419E0,-1.336243728E0,1.813730121E0
1.862922208E0,2.530718789E-1,1.122568634E0,-5.884573513E-1,1.292473508E0
1.872874208E0,1.292966018E-1,9.916124187E-1,-1.752995253E-1,1.015255004E0
1.882825208E0,5.002614588E-2,8.089046174E-1,1.981592149E-1,8.343238997E-1
1.892777208E0,-2.497537667E-3,7.924694829E-1,5.972702748E-1,9.923436401E-1
1.902729208E0,-3.522016444E-2,7.547298720E-1,8.726010418E-1,1.154248768E0
1.912681208E0,-8.028172273E-2,6.099355631E-1,1.220671756E0,1.366933094E0
1.922632208E0,-1.954097992E-1,4.457575882E-1,1.714151614E0,1.781909250E0
1.932584208E0,-3.334037780E-1,3.791769516E-1,2.246505516E0,2.302546476E0
1.942536542E0,-6.158343074E-1,3.801997758E-1,2.655169757E0,2.752041097E0
1.952488542E0,-9.323842902E-1,4.715380351E-1,2.818241000E0,3.005689758E0
1.962439542E0,-1.103177513E0,5.956620712E-1,2.687941647E0,2.965947441E0
1.972391542E0,-1.090166946E0,5.913971852E-1,2.382917549E0,2.686356389E0
1.982343542E0,-8.754747290E-1,4.385071870E-1,2.322824544E0,2.520765443E0
1.992295542E0,-6.106368270E-1,1.224852077E-1,2.583043767E0,2.657065122E0
2.002246542E0,-2.912327451E-1,-4.042215995E-1,3.107847160E0,3.147526899E0
2.012198542E0,1.918803102E-2,-9.991436324E-1,3.950063145E0,4.074512858E0
2.022150542E0,2.983935012E-1,-1.481139778E0,4.883523762E0,5.111909433E0
2.032102542E0,5.164908078E-1,-1.746244934E0,5.583605044E0,5.873055373E0
2.042053542E0,6.507991221E-1,-1.793692751E0,5.781766598E0,6.088488990E0
2.052005542E0,7.545730204E-1,-1.663704469E0,5.155597045E0,5.469686818E0
2.061957542E0,7.962054882E-1,-1.445090817E0,3.981766164E0,4.310068727E0
2.071909542E0,6.843679141E-1,-1.097053577E0,2.665367886E0,2.962443579E0
2.081860542E0,4.493870281E-1,-7.461226974E-1,1.368051996E0,1.621793466E0
2.091812542E0,1.497527294E-1,-5.351482862E-1,3.567859894E-1,6.603830786E-1
2.101764542E0,-1.347857851E-1,-4.527942006E-1,-1.704100835E-1,5.022244444E-1
2.111716542E0,-2.864606497E-1,-4.129778780E-1,-2.336605847E-1,5.542632050E-1
2.121667542E0,-2.755378498E-1,-4.496160927E-1,-7.345330775E-2,5.324200653E-1
2.131619542E0,-1.112308890E-1,-5.302233957E-1,-4.226075113E-2,5.434106469E-1
2.141571542E0,1.002447748E-1,-6.472997097E-1,-2.939582419E-1,7.179536037E-1
2.151523542E0,2.019284032E-1,-6.908858784E-1,-8.342497391E-1,1.101848903E0
2.161474542E0,2.897375024E-1,-7.209126464E-1,-1.383148922E0,1.586431154E0
2.171426542E0,3.633503661E-1,-7.625524233E-1,-1.840661387E0,2.025226908E0
2.181378542E0,3.727746159E-1,-9.110299663E-1,-2.196304831E0,2.406801077E0
2.191330542E0,2.822858839E-1,-1.031119935E0,-2.313389477E0,2.548463167E0
2.201281542E0,2.020069020E-1,-1.015622694E0,-2.184224483E0,2.417257297E0
2.211233542E0,-1.051900026E-1,-9.552841064E-1,-2.002878937E0,2.221521257E0
2.221185542E0,-2.959027335E-1,-8.035031057E-1,-1.899821177E0,2.083865680E0
2.231137542E0,-3.837094208E-1,-5.702116996E-1,-1.923667291E0,2.042760424E0
2.241088542E0,-3.359284230E-1,-3.638201167E-1,-1.978335834E0,2.039368936E0
2.251040542E0,-2.921990888E-1,-1.769424467E-1,-2.077118111E0,2.105019853E0
2.260992542E0,-2.835817182E-1,-2.519185156E-2,-2.233138781E0,2.251213459E0
2.270944542E0,-2.235247835E-1,5.163829632E-2,-2.476724430E0,2.487326626E0
2.280895542E0,-9.690267077E-2,9.398595169E-2,-2.741617332E0,2.744938812E0
2.290847542E0,3.746047944E-2,1.462475612E-1,-2.928729402E0,2.932617866E0
2.300799542E0,1.458442860E-1,2.151150439E-1,-3.066635984E0,3.077629168E0
2.310751542E0,1.915086649E-1,3.185308734E-1,-3.094669290E0,3.116908003E0
2.320702542E0,2.990948016E-1,4.563236531E-1,-3.046607516E0,3.095077759E0
2.330654542E0,4.342419355E-1,5.814280479E-1,-2.910526435E0,2.999631438E0
2.340606542E0,5.472021751E-1,7.995851058E-1,-2.721342697E0,2.888680085E0
2.350558542E0,5.626424059E-1,9.939542285E-1,-2.583949501E0,2.825120618E0
2.360509542E0,6.094687361E-1,1.071457610E0,-2.444880493E0,2.738049338E0
