"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.043397163E0,-1.064362049E0,-1.737450957E-1,1.165390968E0,1.587825569E0
1.053397163E0,-7.711919546E-1,1.362812519E-2,2.252983093E0,2.381355827E0
1.063397163E0,-9.107915163E-1,3.278283477E-1,3.564683914E0,3.693776390E0
1.073397163E0,-1.293070197E0,6.563774943E-1,5.078559875E0,5.281536931E0
1.083397129E0,-1.087392092E0,9.723412991E-1,6.022785187E0,6.196919442E0
1.093397129E0,-5.677964091E-1,7.752959728E-1,6.576243401E0,6.646085605E0
1.103397129E0,2.173590660E-2,1.988227963E-1,6.601850510E0,6.604879492E0
1.113397129E0,7.393360138E-1,1.028167009E-1,7.757388115E0,7.793218807E0
1.123397162E0,9.366747141E-1,3.018269539E-1,7.534446716E0,7.598443680E0
1.133397162E0,6.073510647E-1,2.214308977E-1,7.492872238E0,7.520707502E0
1.143396328E0,-1.095304489E-1,3.011748791E-1,8.164278030E0,8.170565402E0
1.153396328E0,-9.511266947E-1,3.740428686E-1,7.778773308E0,7.845627077E0
1.163396328E0,-1.463179827E0,3.088426590E-2,7.301692009E0,7.446915820E0
1.173396294E0,-1.931946993E0,2.646183968E-2,8.238750458E0,8.462276793E0
1.183395494E0,-1.816273451E0,-1.721343994E-1,8.783033371E0,8.970515854E0
1.193395494E0,-1.391705275E0,-1.164271832E-1,8.605500221E0,8.718086540E0
1.203395494E0,-1.070539951E0,-6.903243065E-2,7.669852257E0,7.744511276E0
1.213395494E0,-8.521757126E-1,-4.970734119E-1,7.423240662E0,7.488510355E0
1.223395494E0,-9.001061916E-1,-4.477596283E-1,7.499567986E0,7.566650501E0
1.233395494E0,-1.021760941E0,-4.254736900E-1,7.212062836E0,7.296497353E0
1.243395460E0,-9.701944590E-1,-3.730359077E-1,7.495819092E0,7.567544974E0
1.253395460E0,-7.894239426E-1,-6.691408157E-2,7.585924149E0,7.627182497E0
1.263395460E0,-7.697285414E-1,2.793645859E-1,7.740932465E0,7.784122431E0
1.273395460E0,-6.201992035E-1,2.212316990E-1,7.822225571E0,7.849891935E0
1.283396293E0,-7.966812849E-1,4.798924923E-1,7.800711632E0,7.855959511E0
1.293396293E0,-8.412157297E-1,4.438574314E-1,7.464458466E0,7.524811859E0
1.303396293E0,-7.958494425E-1,4.860553741E-1,6.814970016E0,6.878476756E0
1.313396293E0,-9.043200016E-1,6.273202896E-1,6.484201431E0,6.576944094E0
1.323396293E0,-9.183491468E-1,8.495721817E-1,6.326872826E0,6.449376543E0
1.333396293E0,-9.724011421E-1,1.123713255E0,5.980904579E0,6.162752230E0
1.343396326E0,-1.007047176E0,1.315986872E0,5.753462791E0,5.987344950E0
1.353396326E0,-9.490110874E-1,1.558577299E0,5.622427940E0,5.911131972E0
1.363396326E0,-8.365252018E-1,1.770442486E0,5.582365036E0,5.915829646E0
1.373396359E0,-4.990266562E-1,1.765225887E0,5.828554153E0,6.110408624E0
1.383395525E0,-8.560848236E-2,1.804230809E0,5.849982262E0,6.122488880E0
1.393395525E0,4.145820141E-1,1.787377715E0,5.280233383E0,5.589942927E0
1.403395525E0,6.426064968E-1,1.811402082E0,5.274483681E0,5.613759766E0
1.413395525E0,5.352292061E-1,1.838654637E0,5.245363235E0,5.583991104E0
1.423395491E0,3.513312340E-1,1.734320164E0,4.976253510E0,5.281514845E0
1.433395491E0,1.076805592E-1,1.687327623E0,4.480441093E0,4.788843493E0
1.443396324E0,-2.432470322E-1,1.605996132E0,3.811858177E0,4.143507627E0
1.456924076E0,-5.045794249E-1,1.472608328E0,3.905359268E0,4.204165398E0
1.466924076E0,-4.330878258E-1,1.414384127E0,3.873697281E0,4.146513975E0
1.476924076E0,-9.701139927E-1,1.454353809E0,3.561567307E0,3.967496420E0
1.486924876E0,-1.037193179E0,1.343546391E0,3.121796608E0,3.553378766E0
1.496924876E0,-1.215540886E0,1.349598050E0,2.946369171E0,3.461220281E0
1.506924909E0,-1.155217528E0,1.239782810E0,2.037606239E0,2.650175115E0
1.516924909E0,-1.042654753E0,1.135827541E0,8.227491379E-1,1.747612452E0
1.526924909E0,-1.027112246E0,1.217535377E0,2.533655167E-1,1.612930886E0
1.536924909E0,-9.992192984E-1,1.325211763E0,-1.558036804E-1,1.667003363E0
1.546924909E0,-1.079058409E0,1.547508359E0,-5.482378006E-1,1.964615447E0
1.556924909E0,-1.408536673E0,1.632422447E0,-2.058925629E-1,2.165910975E0
1.566924909E0,-1.380224109E0,1.397441149E0,-7.925386429E-1,2.118012714E0
1.576924909E0,-1.149983644E0,1.054251909E0,-2.164789200E0,2.668374365E0
1.586924042E0,-9.575952888E-1,9.061890841E-1,-3.105998039E0,3.374224535E0
1.596924042E0,-1.122532606E0,1.137714982E0,-3.881437302E0,4.197621989E0
1.606924042E0,-1.537889838E0,1.334516287E0,-4.329422474E0,4.784342989E0
1.616924042E0,-1.750047922E0,1.434188843E0,-4.568761826E0,5.098347770E0
1.626924075E0,-1.652818441E0,1.784079194E0,-5.048807621E0,5.604034775E0
1.636924075E0,-1.672588944E0,1.665058970E0,-4.788547993E0,5.338554770E0
1.646924041E0,-1.953882456E0,2.003359079E0,-4.223963737E0,5.066850492E0
1.656924041E0,-2.126072168E0,1.907189488E0,-3.652904510E0,4.636945759E0
1.666924041E0,-1.993190169E0,1.857554555E0,-3.591733456E0,4.508199773E0
1.676924007E0,-1.722874284E0,1.916547537E0,-3.828895092E0,4.615396828E0
1.686924840E0,-1.516837239E0,2.088156939E0,-3.991951942E0,4.753617036E0
1.696924840E0,-1.130959988E0,2.343391895E0,-2.095007420E0,3.340600568E0
1.706924840E0,-1.003274560E0,2.722379208E0,-2.638282776E-1,2.913333787E0
1.716924840E0,-1.020254612E0,2.838656664E0,6.426086426E-1,3.084126618E0
1.726924840E0,-7.756444216E-1,2.673148632E0,8.459329605E-1,2.909115063E0
1.736924840E0,-3.444538116E-1,2.497102737E0,1.572256088E-1,2.525646531E0
1.746924840E0,-2.611253262E-1,2.663825035E0,-2.914237976E-2,2.676751675E0
1.756924806E0,-9.705681801E-1,2.949147463E0,1.287117958E0,3.360973964E0
1.766924806E0,-1.577402830E0,3.380542040E0,1.938276291E0,4.203948043E0
1.776924806E0,-1.523440003E0,3.386576653E0,2.961236000E0,4.749598879E0
1.786923972E0,-1.350695491E0,3.074268818E0,3.597835541E0,4.921374569E0
1.796923972E0,-1.397204757E0,2.348872423E0,3.981142998E0,4.828962866E0
1.806923938E0,-1.343739271E0,2.466904640E0,4.397112846E0,5.217840082E0
1.816923938E0,-1.258437634E0,2.361086369E0,3.533437729E0,4.432107433E0
1.826923938E0,-1.275007963E0,2.082370758E0,2.756731987E0,3.682592094E0
