"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.894530833E-1,2.805454967E-1,2.066524418E0,-1.090250781E0,2.353269154E0
8.994060833E-1,2.519390722E-1,2.005314887E0,-1.207260582E0,2.354196085E0
9.093590833E-1,1.879843835E-1,1.983788947E0,-1.182281862E0,2.317012542E0
9.193120833E-1,1.197449832E-1,2.003833349E0,-1.107038137E0,2.292426746E0
9.292650833E-1,3.772161243E-2,2.031408818E0,-9.775614864E-1,2.254699795E0
9.392180833E-1,7.015193325E-2,2.113781176E0,-8.830242884E-1,2.291882206E0
9.491710833E-1,1.420296722E-1,2.172804579E0,-9.683170384E-1,2.383042184E0
9.591250833E-1,1.690403915E-1,2.181558153E0,-1.087364595E0,2.443385437E0
9.690780833E-1,1.762902263E-1,2.151817168E0,-1.174618501E0,2.457869807E0
9.790310833E-1,1.929424387E-1,2.169867815E0,-1.163454412E0,2.469651653E0
9.889840833E-1,2.005074384E-1,2.179457833E0,-1.179458241E0,2.486234386E0
9.989370833E-1,1.821753758E-1,2.221516563E0,-1.229830835E0,2.545743033E0
1.008890083E0,2.227643166E-1,2.266868006E0,-1.210054382E0,2.579253013E0
1.018843083E0,3.230706516E-1,2.373467279E0,-1.008233641E0,2.598895274E0
1.028796083E0,4.344499502E-1,2.562244636E0,-6.923044860E-1,2.689447869E0
1.038749083E0,5.468544120E-1,2.764020354E0,-5.303716958E-1,2.867080815E0
1.048702083E0,6.511082205E-1,2.900482088E0,-5.142170084E-1,3.016812455E0
1.058655083E0,7.639711770E-1,2.925946128E0,-4.868491155E-1,3.062978087E0
1.068608083E0,8.696831350E-1,2.705207305E0,-4.738963634E-1,2.880811185E0
1.078561083E0,7.479290485E-1,2.799747134E0,-4.198786157E-1,2.928187140E0
1.088514083E0,4.364999110E-1,2.846688874E0,-1.714368546E-1,2.885058112E0
1.098467083E0,8.749302071E-2,2.801817633E0,4.164884001E-1,2.833954775E0
1.108420083E0,-1.654134916E-1,2.730632753E0,1.038594723E0,2.926157182E0
1.118373083E0,-2.759738146E-1,2.746478707E0,1.399762031E0,3.094937896E0
1.128326083E0,-2.043349709E-1,2.814754305E0,1.510444561E0,3.200943197E0
1.138279083E0,-5.764989182E-2,2.896434646E0,1.594605875E0,3.306875423E0
1.148232083E0,1.205725104E-1,2.986707469E0,1.729343265E0,3.453344374E0
1.158185083E0,2.253139402E-1,2.982577581E0,1.916467030E0,3.552376849E0
1.168138083E0,2.721590545E-1,2.826378863E0,2.138634328E0,3.554749613E0
