Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
8.531725833E-1,-1.524195166E-1,-1.634152787E-1,-8.670871174E-1,8.954196399E-1
8.631235833E-1,-3.851332909E-1,-2.525498687E-1,-9.555899888E-1,1.060783350E0
8.730745833E-1,-7.057120053E-1,-4.681250884E-1,-1.128134891E0,1.410623573E0
8.830265833E-1,-9.908714303E-1,-6.857746080E-1,-1.158128183E0,1.671338952E0
8.929775833E-1,-9.974273285E-1,-7.267888058E-1,-1.017523697E0,1.599511712E0
9.029285833E-1,-9.432938059E-1,-5.370531994E-1,-8.776179528E-1,1.395866260E0
9.128795833E-1,-7.707103124E-1,-2.770824467E-1,-5.696445197E-1,9.976291629E-1
9.228305833E-1,-5.181064300E-1,-1.800168396E-1,-3.106309927E-1,6.303427234E-1
9.327815833E-1,-4.029574315E-1,-2.416376852E-1,-3.429614174E-1,5.817095463E-1
9.427325833E-1,-3.469516305E-1,-3.751518014E-1,-6.002330589E-1,7.882855022E-1
9.526845833E-1,-4.541558710E-1,-5.271797373E-1,-1.000230557E0,1.218456892E0
9.626355833E-1,-5.241607833E-1,-6.412839480E-1,-1.348466747E0,1.582514517E0
9.725865833E-1,-5.964703757E-1,-7.000188638E-1,-1.473578451E0,1.737019508E0
9.825375833E-1,-6.665414346E-1,-7.738197155E-1,-1.463090301E0,1.784294724E0
9.924885833E-1,-6.342675085E-1,-7.198286457E-1,-1.375082688E0,1.676693458E0
1.002439583E0,-5.153640859E-1,-6.072922562E-1,-1.187100552E0,1.429549491E0
1.012391583E0,-3.254560232E-1,-5.728304482E-1,-1.146059530E0,1.321933732E0
1.022342583E0,-1.407989064E-1,-4.940825598E-1,-1.243471804E0,1.345423367E0
1.032293583E0,6.113702506E-3,-3.574625488E-1,-1.474114641E0,1.516848979E0
1.042244583E0,-1.443487510E-2,-2.785697225E-1,-1.736039497E0,1.758306739E0
1.052195583E0,-1.664314918E-1,-3.133321505E-1,-1.924459589E0,1.956890694E0
1.062146583E0,-2.918080746E-1,-4.198318746E-1,-1.930403869E0,1.996965160E0
1.072097583E0,-2.276503779E-1,-4.392451787E-1,-1.733461459E0,1.802678466E0
1.082049583E0,-6.508024111E-2,-3.388642369E-1,-1.564946458E0,1.602536061E0
1.092000583E0,1.546511064E-1,-2.940673291E-1,-1.448609086E0,1.486223686E0
1.101951583E0,4.307395995E-1,-2.279359778E-1,-1.327957639E0,1.414553959E0
1.111902583E0,6.127050968E-1,-1.480023472E-1,-1.275125121E0,1.422412143E0
1.121853583E0,5.537386313E-1,-1.311904327E-1,-1.271110423E0,1.392680548E0
1.131804583E0,4.611375196E-1,-4.663026575E-2,-1.051933976E0,1.149516109E0
1.141755583E0,4.070103559E-1,2.394007232E-2,-6.195850039E-1,7.416981420E-1
1.151707583E0,2.504982269E-1,-4.982924089E-3,-2.766317725E-1,3.732282529E-1
1.161658583E0,4.793737426E-2,-5.122723706E-2,-1.468048739E-1,1.627079982E-1
1.171609583E0,9.256390885E-2,-1.516325179E-1,-1.065959108E-1,2.071791155E-1
1.181560583E0,2.410681298E-1,-2.708955809E-1,-1.959869742E-1,4.122003797E-1
1.191511583E0,2.626486679E-1,-3.171654389E-1,-3.738926035E-1,5.562139133E-1
1.201462583E0,1.262510338E-1,-3.298253186E-1,-5.832363725E-1,6.818274932E-1
1.211414583E0,-3.068611465E-2,-3.812864077E-1,-6.961542928E-1,7.943247206E-1
1.221365583E0,-6.938284166E-2,-3.515623428E-1,-6.695991629E-1,7.594557911E-1
1.231316583E0,-1.269323806E-1,-2.939027299E-1,-5.652602774E-1,6.496228330E-1
1.241267583E0,-6.265861675E-2,-1.667319291E-1,-2.810832578E-1,3.327663388E-1
1.251218583E0,1.651146258E-1,1.681754239E-2,5.909371555E-2,1.761753007E-1
1.261169083E0,2.898460414E-1,1.366614531E-1,1.787137145E-1,3.669137122E-1
1.271120083E0,2.944464844E-1,1.692963717E-1,1.773413730E-1,3.831578738E-1
1.281072083E0,2.065153246E-1,1.210124402E-1,1.184675127E-1,2.670714166E-1
1.291023083E0,1.419992667E-2,9.305843711E-4,1.719198346E-2,2.231744161E-2
1.300974083E0,-2.215728185E-1,-1.597485629E-1,7.632195175E-2,2.836179782E-1
1.310925083E0,-4.605586087E-1,-2.651986387E-1,2.243161494E-1,5.768555147E-1
1.320876083E0,-4.567842675E-1,-2.123632711E-1,3.577455175E-1,6.178445446E-1
